RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::279,665147434,278.070
2025/11/16 23:44:46::279,665147437,279.682
2025/11/16 23:44:46::279,665147439,278.876
2025/11/16 23:44:46::279,665147442,280.488
2025/11/16 23:44:46::279,665147444,279.682
2025/11/16 23:44:46::279,665147447,280.488
2025/11/16 23:44:46::279,665147450,280.488
2025/11/16 23:44:46::281,665150398,235.352
2025/11/16 23:44:46::281,665150400,237.770
2025/11/16 23:44:46::281,665150403,251.472
2025/11/16 23:44:46::281,665150405,256.308
2025/11/16 23:44:46::281,665150408,257.920
2025/11/16 23:44:46::281,665150411,265.174
2025/11/16 23:44:46::281,665150413,266.786
2025/11/16 23:44:46::282,665150416,269.204
2025/11/16 23:44:46::282,665150419,270.816
2025/11/16 23:44:46::282,665150421,272.428
2025/11/16 23:44:46::282,665150424,273.234
2025/11/16 23:44:46::282,665150426,272.428
2025/11/16 23:44:46::282,665150429,286.936
2025/11/16 23:44:46::282,665150432,271.622
2025/11/16 23:44:46::282,665150434,279.682
2025/11/16 23:44:46::282,665150437,280.488
2025/11/16 23:44:46::282,665150440,277.264
2025/11/16 23:44:46::282,665150442,278.876
2025/11/16 23:44:46::282,665150445,278.876
2025/11/16 23:44:46::282,665150448,279.682
2025/11/16 23:44:46::284,665153420,219.232
2025/11/16 23:44:46::284,665153422,230.516
2025/11/16 23:44:46::284,665153425,239.382
2025/11/16 23:44:46::284,665153428,246.636
2025/11/16 23:44:46::284,665153430,253.084
2025/11/16 23:44:46::284,665153433,255.502
2025/11/16 23:44:46::284,665153435,261.144
2025/11/16 23:44:46::284,665153438,258.726
2025/11/16 23:44:46::284,665153441,267.592
2025/11/16 23:44:46::284,665153443,273.234
2025/11/16 23:44:46::285,665153446,271.622
2025/11/16 23:44:46::285,665153449,273.234
2025/11/16 23:44:46::285,665153451,273.234
2025/11/16 23:44:46::285,665153459,267.592
2025/11/16 23:44:46::285,665153461,270.010
2025/11/16 23:44:46::285,665153464,269.204
2025/11/16 23:44:46::285,665153466,273.234
2025/11/16 23:44:46::285,665153469,274.040
2025/11/16 23:44:46::285,665153472,281.294
2025/11/16 23:44:46::285,665153474,274.846
2025/11/16 23:44:46::287,665156403,207.142
2025/11/16 23:44:46::287,665156406,219.232
2025/11/16 23:44:46::287,665156408,230.516
2025/11/16 23:44:46::287,665156411,239.382
2025/11/16 23:44:46::287,665156414,247.442
2025/11/16 23:44:46::287,665156416,251.472
2025/11/16 23:44:46::287,665156419,256.308
2025/11/16 23:44:46::288,665156422,261.144
2025/11/16 23:44:46::288,665156424,265.174
2025/11/16 23:44:46::288,665156427,269.204
2025/11/16 23:44:46::288,665156429,270.816
2025/11/16 23:44:46::288,665156432,265.980
2025/11/16 23:44:46::288,665156435,273.234
2025/11/16 23:44:46::288,665156437,272.428
2025/11/16 23:44:46::288,665156440,274.040
2025/11/16 23:44:46::288,665156443,274.040
2025/11/16 23:44:46::288,665156445,275.652
2025/11/16 23:44:46::288,665156448,275.652
2025/11/16 23:44:46::288,665156451,274.846
2025/11/16 23:44:46::288,665156459,270.010
2025/11/16 23:44:46::289,665159395,220.038
2025/11/16 23:44:46::290,665159397,231.322
2025/11/16 23:44:46::290,665159400,240.188
2025/11/16 23:44:46::290,665159403,247.442
2025/11/16 23:44:46::290,665159405,251.472
2025/11/16 23:44:46::290,665159408,259.532
2025/11/16 23:44:46::305,665159411,265.980
2025/11/16 23:44:46::305,665159413,266.786
2025/11/16 23:44:46::305,665159416,267.592
2025/11/16 23:44:46::305,665159418,269.204
2025/11/16 23:44:46::305,665159421,270.010
2025/11/16 23:44:46::305,665159424,272.428
2025/11/16 23:44:46::305,665159426,274.040
2025/11/16 23:44:46::305,665159429,274.040
2025/11/16 23:44:46::305,665159432,274.040
2025/11/16 23:44:46::305,665159434,275.652
2025/11/16 23:44:46::305,665159437,274.846
2025/11/16 23:44:46::305,665159440,277.264
2025/11/16 23:44:46::305,665159442,275.652
2025/11/16 23:44:46::305,665159445,278.070
2025/11/16 23:44:46::305,665162402,232.934
2025/11/16 23:44:46::305,665162404,245.830
2025/11/16 23:44:46::305,665162407,249.860
2025/11/16 23:44:46::305,665162410,255.502
2025/11/16 23:44:46::305,665162412,260.338
2025/11/16 23:44:46::305,665162415,263.562
2025/11/16 23:44:46::305,665162417,268.398
2025/11/16 23:44:46::305,665162420,268.398
2025/11/16 23:44:46::305,665162423,274.040
2025/11/16 23:44:46::305,665162425,273.234
2025/11/16 23:44:46::305,665162428,272.428
2025/11/16 23:44:46::305,665162431,274.846
2025/11/16 23:44:46::305,665162433,272.428
2025/11/16 23:44:46::305,665162436,280.488
2025/11/16 23:44:46::305,665162438,277.264
2025/11/16 23:44:46::305,665162441,279.682
2025/11/16 23:44:46::305,665162444,279.682
2025/11/16 23:44:46::305,665162446,279.682
2025/11/16 23:44:46::305,665162449,278.876
2025/11/16 23:44:46::305,665162452,281.294
2025/11/16 23:44:46::305,665165390,247.442
2025/11/16 23:44:46::305,665165392,252.278
2025/11/16 23:44:46::305,665165395,256.308
2025/11/16 23:44:46::305,665165398,261.950
2025/11/16 23:44:46::305,665165400,265.980
2025/11/16 23:44:46::305,665165403,268.398
2025/11/16 23:44:46::305,665165406,270.010
2025/11/16 23:44:46::305,665165408,272.428
2025/11/16 23:44:46::305,665165411,274.040
2025/11/16 23:44:46::305,665165413,274.040
2025/11/16 23:44:46::305,665165416,275.652
2025/11/16 23:44:46::305,665165419,278.876
2025/11/16 23:44:46::305,665165421,278.070
2025/11/16 23:44:46::305,665165424,282.100
2025/11/16 23:44:46::305,665165427,273.234
